1_1_2025,Exp 1
Signal,Time
V,s
-1.99599,0.00104
-1.691487,0.00104
-1.002087,0.00104
-0.112909,0.00104
0.772887,0.00104
1.482269,0.00104
1.900682,0.00104
1.988973,0.00104
1.768568,0.00104
1.30875,0.00105
0.702803,0.00105
0.042887,0.00105
-0.542917,0.00105
-1.09086,0.00105
-1.517969,0.00105
-1.809582,0.00105
-1.965056,0.00105
-2.000179,0.00105
-1.935411,0.00105
-1.794116,0.00106
-1.600458,0.00106
-1.374579,0.00106
-1.133232,0.00106
-0.890114,0.00106
-0.655535,0.00106
-0.434811,0.00106
-0.231971,0.00106
-0.048464,0.00106
0.114904,0.00106
0.259583,0.00107
0.386056,0.00107
0.496901,0.00107
0.594375,0.00107
0.680248,0.00107
0.75726,0.00107
0.827021,0.00107
0.891628,0.00107
0.954301,0.00107
1.015685,0.00107
1.077713,0.00108
1.142642,0.00108
1.210793,0.00108
1.284422,0.00108
1.363045,0.00108
1.446824,0.00108
1.535598,0.00108
1.627594,0.00108
1.719751,0.00108
1.808847,0.00108
1.889082,0.00109
1.952883,0.00109
1.991551,0.00109
1.99429,0.00109
1.948533,0.00109
1.842198,0.00109
1.662716,0.00109
1.400907,0.00109
1.052418,0.00109
0.619347,0.00109
0.118126,0.0011
-0.425144,0.0011
-0.967287,0.0011
-1.484457,0.0011
-1.836166,0.0011
-1.996634,0.0011
-1.913339,0.0011
-1.563563,0.0011
-0.964226,0.0011
-0.182993,0.0011
0.658175,0.00111
1.403484,0.00111
1.887632,0.00111
1.977373,0.00111
1.615671,0.00111
0.852961,0.00111
-0.144004,0.00111
-1.124693,0.00111
-1.811032,0.00111
-1.98729,0.00111
-1.572586,0.00112
-0.670357,0.00112
0.453562,0.00112
1.441991,0.00112
1.963194,0.00112
1.833336,0.00112
1.082224,0.00112
-0.037992,0.00112
-1.148377,0.00112
-1.866133,0.00112
-1.947656,0.00113
-1.370712,0.00113
-0.337983,0.00113
0.797699,0.00113
1.665133,0.00113
1.995579,0.00113
1.703962,0.00113
0.903228,0.00113
-0.147387,0.00113
-1.139355,0.00113
-1.806682,0.00114
-1.996312,0.00114
-1.691165,0.00114
-1.00257,0.00114
-0.11307,0.00114
0.772887,0.00114
1.481947,0.00114
1.901004,0.00114
1.988651,0.00114
1.768407,0.00114
1.309555,0.00115
0.702642,0.00115
0.042887,0.00115
-0.543078,0.00115
-1.090376,0.00115
-1.517969,0.00115
-1.809421,0.00115
-1.965217,0.00115
-2.000501,0.00115
-1.934767,0.00115
-1.794116,0.00116
-1.600297,0.00116
-1.374579,0.00116
-1.133393,0.00116
-0.890597,0.00116
-0.656018,0.00116
-0.434811,0.00116
-0.231971,0.00116
-0.048786,0.00116
0.114743,0.00116
0.259099,0.00117
0.386056,0.00117
0.49674,0.00117
0.594052,0.00117
0.679764,0.00117
0.756615,0.00117
0.82686,0.00117
0.891628,0.00117
0.954139,0.00117
1.015201,0.00117
1.077713,0.00118
1.142803,0.00118
1.211115,0.00118
1.283938,0.00118
1.363045,0.00118
1.446985,0.00118
1.535598,0.00118
1.627433,0.00118
1.720073,0.00118
1.809008,0.00118
1.889082,0.00119
1.953205,0.00119
1.991551,0.00119
1.994128,0.00119
1.948211,0.00119
1.841875,0.00119
1.662878,0.00119
1.400907,0.00119
1.052096,0.00119
0.619347,0.00119
0.117804,0.0012
-0.424661,0.0012
-0.966964,0.0012
-1.484457,0.0012
-1.836166,0.0012
-1.99599,0.0012
-1.913339,0.0012
-1.563402,0.0012
-0.964064,0.0012
-0.182993,0.0012
0.658336,0.00121
1.403162,0.00121
1.887793,0.00121
1.977211,0.00121
1.61551,0.00121
0.852961,0.00121
-0.144326,0.00121
-1.124371,0.00121
-1.811194,0.00121
-1.987451,0.00121
-1.573069,0.00122
-0.670196,0.00122
0.453884,0.00122
1.441829,0.00122
1.963517,0.00122
1.833175,0.00122
1.08303,0.00122
-0.038153,0.00122
-1.148055,0.00122
-1.866455,0.00122
-1.948462,0.00123
-1.371034,0.00123
-0.338466,0.00123
0.797538,0.00123
1.665294,0.00123
1.995417,0.00123
1.703801,0.00123
0.90355,0.00123
-0.147548,0.00123
-1.138871,0.00123
-1.806038,0.00124
-1.994379,0.00124
-1.690198,0.00124
-1.00257,0.00124
-0.11307,0.00124
0.773049,0.00124
1.481463,0.00124
1.900682,0.00124
1.988812,0.00124
1.768568,0.00124
1.309555,0.00125
0.702803,0.00125
0.043209,0.00125
-0.542917,0.00125
-1.090538,0.00125
-1.518613,0.00125
-1.80926,0.00125
-1.965217,0.00125
